Id	Label	Note	Subjects	Versification	_description	Macaronic	Author(s)	Author confidence	Title(s)	Bibliographic Ghosts	Type
DIMEV 2656	In trifling tales by poets told		tales	— six-line — ababcc	Moral lines against fictitious tales — 6 lines		Roger North				Text
DIMEV 2657	In trouble and in thrall	Cf. a prose scribble in Glasgow, Glasgow University Library Hunterian 232 (U.3.5), f. 104.	prayers	— six-line	A simple prayer against slanderers — one 6-line stanza						Text
DIMEV 2658	In truth truly teaching meedful		sermons, verse in	— three-line — aba	A verse tag in a collection of sermons by John Waldeby — one triplet		John Waldeby				Text
DIMEV 2659	In twenty year of age remember we everyone	Followed by 3990.	ages of man’s life	— four-line — aaaa	The Four Ages of Man — four monorhyming quatrains and six-line burden: ‘So dye shall then / All cristyn men / No man wottith his tyme ne when / Wherfor thow may / Yf thou behye / Thynk non other but thou shalt dye’						Text
DIMEV 2660	In vice most vicious he excels		epitaphs; Owre, Donald	— six-line — aabbba	William Dunbar, ‘Aganis treason: Epitaphe for Donald Owre’ — eight 6-line stanzas		William Dunbar		‘Aganis treason: Epitaphe for Donald Owre’		Text
DIMEV 2661	In weal be wise and ware ere thou be woe		mottoes; advice, moral	— two-line — aa	A couplet motto in a scroll in one MS of Hoccleve’s De Regimine Principum (3581)		Thomas Hoccleve		De Regimine Principum		Text
DIMEV 2662	In wealth beware of woe what so thee haps / And bear thee even for dread of after claps		advice, moral	— two-line — aa	A proverbial couplet in a series of six (see 6621.7)						Text
DIMEV 2663	In Wenlock		Wenlock, William, of Luton (Canon of St. Paul’s); inscriptions; epitaphs		Epitaph of William Wenlock of Luton, Beds.						Text
DIMEV 2664	In what order or what degree		carols, of moral counsel	— five-line — ababc	John Audelay, ‘ffac ad quod venisti’, — eight 5-line stanzas(ababc) with ‘I say algate’ refrain and burden: ‘Hit is the best erele & late / Vche mon kepe his oune state’		John Audelay		‘ffac ad quod venisti’		Text
DIMEV 2665	In whom is truth pity freedom and hardiness	Variant on the epilogue to Chaucer’s ‘Gentilesse’ (5277), which appears in one MS.	gentleman, qualities of	— two-line — aa	Qualities of a Gentleman — two couplets						Text
DIMEV 2666	In wilderness / There found I Bess		chansons d’aventure; romances	— six-line	A betrayed maiden, with a chanson d’aventure opening — eight 6-line tail-rhyme stanzas						Text
DIMEV 2667	In Wiltshire of England two priests there were		legends; salvation	— seven-line — ababbcc	Legend of Wulfryk the priest — five stanzas rhyme royal						Text
DIMEV 2668	In winter when the weather was cold	For a variant see 609.	psalms, penitential	— eight-line	Thomas Brampton’s version of the Seven Penitential Psalms — 8-line stanzas		Thomas Brampton		Seven Penitential Psalms		Text
DIMEV 2669	In womanhood as auctors all write		women, praise of	— seven-line — ababbcc	‘A Balade declaring that wemens chastite Doeth moche excel all treasure worldly’ — ten stanzas rhyme royal: an extract in Stow from The Fall of Princes (1904) made up of Bk IV.2374-87 and Bk III.1373-1421.		John Lydgate		A Balade declaring that wemens chastite Doeth moche excel all treasure worldly		Text
DIMEV 2670	In women is rest peace and patience	Cf. 406; may possibly be the second stanza of 3804.	women, against	— eight-line — ababbcbc	On Women, two views depending on the punctuation adopted — one 8-line stanza						Text
DIMEV 2671	In word and eek in deed / Obey thy living Lord		acrostics; God, trust in	— two-line — aa	Trust in God — five couplets: an acrostic of John Wilson		John Wilson				Text
DIMEV 2672	In word in deed in will in thought		carols, of women; women, praise of	— four-line — aaab	John Audelay, ‘Cantalena de virginibus’ — eight quatrains (aaab) and burden: ‘I pray youe maydys that here be / Kepe your state & your degre’		John Audelay		‘Cantalena de virginibus’		Text
DIMEV 2673	In worship of that Maiden sweet / Mild Mary mother and maid		women, praise of	— twelve-line — ababababbcbc	‘Of Wymmen comeþ þis worldes welle’ — ten l2-line stanzas with this refrain				Of Wymmen cometh this worldes welle		Text
DIMEV 2674	Infinite laud with thankings manifold		colophons; patronage	— eight-line	Colophon or ‘Lenuoye’ of de Worde’s edition of Hilton — two 8-line stanzas		Wynkyn de Worde; Walter Hilton		Scala Perfeccionis		Text
DIMEV 2675	Inguar and Ubbe Beorn was the third / Lothbrogs sons			— alliteration	The three sons of Lothbrog — two alliterative lines				The three sons of Lothbrog		Text
DIMEV 2676	Instruct well thy family		advice, moral; acrostics; Frise, Isaace		Moral counsel: an acrostic on Isaace Frise — eleven lines						Text
DIMEV 2677	Insufficiency of cunning and of wit	For extracts occurring separately see 2078, 4490.	mutability; translations; instruction, philosophical	— eight-line, seven-line — ababbcbc, ababbcc	John Walton’s metrical version of Boethius (with Translator’s Preface and Prologue) — 7584 lines in 8-line stanzas (ababbcbc) and rhyme royal (Books IV and V)		John Walton; Boethius		De consolatione philosophiae	Untraced, Present whereabouts unknown Cited in the IMEV as ‘? Helmingham Hall’; possibly Newberry Library MS f36	Text
DIMEV 2678	In-til one garth under an red rosier	"Critical edition Fox (1981)
XFox, Denton. The Poems of Robert Henryson. Oxford: Clarendon, 1981, 165-7"	old age, praise of	— eight-line — ababbcbc	Robert Henryson, The Praise of Age — four 8-line stanzas (ababbcbc) with refrain, ‘þe moyr of agis þe nerar hewynnys blyss’		Robert Henryson		The Praise of Age		Text
DIMEV 2679	Into my heart imprinted is so sore	Lines 1-12 are contained in 3485.	love lyrics	— seven-line — ababbcc	On his mistress — three stanzas rhyme royal						Text
DIMEV 2680	Into their dark and drublie days		advice, moral	— five-line — irregular monorhyming	William Dunbar, ‘Medtatioun in wynter’, 5-line stanzas		William Dunbar		‘Medtatioun in wynter’		Text
DIMEV 2681	Into thine hands Lord beteach I ghost mine	Cf. 2637, 2684, 3195.	scripture texts, Engl. trans. of	— two-line — aa	In manus tuas, etc. — one long couplet				In manus tuas		Text
DIMEV 2682	Into this world is I-come light		sermons, verse in; Christ	— two-line — aa	Christ the light — one couplet in a Latin sermon						Text
DIMEV 2683	Into this world this day did come		carols, Nativity	— four-line — aaab	A song of the Nativity — four quatrains (aaab) and burden: ‘I pray you be mery & synge with me / In worship of cristys nativite’						Text
DIMEV 2684	Into thy hands lord I take my soul	For other versions see 2637, 2681, 3195.	scripture texts, Engl. trans. of; devotional verse	— seven-line — ababbcc	In Manus Tuas — one stanza rhyme royal				In Manus Tuas		Text
DIMEV 2685	Inwardly lord beseech I the / All my trespass forgive thou me		Ten Commandments; prayers, for pardon	— two-line — aa	‘An orisoun for negligence of the X Commandments’ — fourteen couplets				An orisoun for negligence of the X Commandments		Text
DIMEV 2686	Ipocras great wisdom had		abuses of the age	— six-line — ababcc	True learning now disregarded — two six-line stanzas						Text
DIMEV 2687	Ipocras made this book / Whoso will therein look	Cf. 2688 and 6710.	epilogues; medicine	— eight-line — aabccbdd	Verses at the end of a Book of Medicines						Text
DIMEV 2688	Ipocras this book made yare / And sente it to the emperor…	Cf. 2687 and 6710; a prose version occurs in Cambridge UK, Cambridge University Library Dd.10.44, f. 114.	introductions, to prose texts; medicine	— two-line — aa	A rhymed preface to an English prose tract on medicine — five couplets						Text
DIMEV 2689	Ipse mocat me		carols, nonsense	— three-line — aab	A nonsense carol — four 3-line macaronic stanzas (aab) including In ciuitate Dauid refrain and 2-line burden: ‘Gebit gebit gebit gebit / Lux fulgebit hodie’	Latin					Text
DIMEV 2690	Is a privy poison		Christ, blood of	— two-line — aa	Sanguis Christi: Drink it in faith — two couplets in John Grimestone’s sermon notebook		John Grimestone		Sanguis Christi		Text
DIMEV 2691	Is a robber of rents and lands		lust; sins, deadly	— two-line — aa	The fruits of lust — two couplets in John Grimestone’s sermon notebook		John Grimestone				Text
DIMEV 2692	Is an ending of sorrow and ginning of bliss			— couplet — aa	The water of life — one couplet in a Latin sermon						Text
DIMEV 2693	Is it not sure a deadly pain	Formerly 1620.5.	lovers, absence/separation of	— seven-line — ababbcc	The anguish of separated lovers — one stanza rhyme royal						Text
DIMEV 2694	Is she not full of all goodly manner		roundels; love lyrics	— fourteen-line — abbaabababbaab	"A roundel, translated from the French of Charles d’Orléans (Champollion-Figeac (1842)
XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 27) — 14 lines"		Charles d’Orléans				Text
DIMEV 2695	Is [I shall?] tell you my mind Annis Taylor dame		drinking songs		A plea to Annis Taylor for another drink — a Welsh-English ‘englyn’						Text
DIMEV 2696	Is there any good man here		carols, convivial	— eight-line — aaabcccb	A Minstrel’s Greeting — six 8-line stanzas (aaabcccb) and 3-line burden: ‘Bon jowre bon jowre a vous / I am cum vnto this hows / Vith par la pompe I say’	French			A Minstrel’s Greeting		Text
DIMEV 2697	Is this a fair avaunt is this honor		letters		An extract from Thomas Hoccleve’s Lespistre de Cupide (1092), comprising lines 64-77		Thomas Hoccleve		Lespistre de Cupide		Text
DIMEV 2698	"No records were found. Use the ""IMEV Number"" search menu to find the sample records entered in this prototype version of the database."				close						Text
DIMEV 2699	Is wan of beating		Christ, face of; crucifixion	— four-line — aaaa	Christ’s crucified face — one monorhyming quatrain in John Grimestone’s sermon notebook introduced by ‘Apparet mihi quod facies Christi’		John Grimestone				Text
DIMEV 2700	Iste liber pertinet And bear it well in mind / Per me Gulielmum downes so gentelle ande so kynde		bookplates	— two-line — aa	Bookplate of William Downes — two couplets	Latin					Text
DIMEV 2701	Iste puer is a prince that is peerless		sermons, verse in; Christ, uniqueness of	— four-line — aaaa	Christ’s singularity — four monorhyming lines in a Latin Sermo in natali domini	Latin					Text
DIMEV 2702	It befell at Martinmass		Occasional poems	— four-line — abcb	Ballad of the battle of Crecrynbroghe(?)—thirty 4-line stanzas with refrain, ‘Syck sicke & totowe sike / & sicke & like to die / the sikest nighte that euer I abode / god lord haue mercy on me’						Text
DIMEV 2703	It befell in the wintertide		sermon texts, Gospel	— two-line — aa	Gospel for Wednesday after Passion Sunday, in the ‘expanded’ Northern Homily Cycle				Northern Homily Cycle		Text
DIMEV 2704	It befell some time in certain / In the City of Thessaly		Theodosius, emperor	— two-line — aa	‘De Theodosio Imperatore’, in the Vernon Golden Legend — in short couplets				De Theodosio Imperatore; Golden Legend		Text
DIMEV 2705	It befell whilom Ich understand		tales		‘þe wenche þat [lov]ed [a k]ing’ — 24 lines in couplets				‘þe wenche þat [lov]ed [a k]ing’		Text
DIMEV 2706	It belimpeth for to speak to readen and to sing		prayers, to God	— four-line — aaaa	A prayer to God (with the Pater Noster as its basis) — nine monorhyming quatrains						Text
DIMEV 2707	It beth three times on that day / that sooth to witten me may	For other versions see 1157, 5902, 5905, 5906, and 6341.	sorrowful things, lists of	— two-line — aa	Three Sorrowful Things — six lines						Text
DIMEV 2708	It betid upon a day		sermon texts, Gospel	— two-line — aa	Gospel for Friday following Fourth Sunday after the Octave of Epiphany, in the ‘expanded’ Northern Homily Cycle				Northern Homily Cycle		Text
DIMEV 2709	It cometh by kind of gentle blood		advice		On Good Words — four lines						Text
DIMEV 2710	It doth harm and hate done harm		death; advice, moral	— four-line — abab	Death comes unexpectedly — one quatrain translating ‘Et nocet et nocuit semper differre paratis / Qui non est hodie cras minus aptus erit’ which precedes it in John Grimestone’s sermon notebook		John Grimestone				Text
DIMEV 2711	It falleth for every gentleman	"See Whiting (1968)
XWhiting, Bartlett Jere. Proverbs, Sentences, and Proverbial Phrases from English Writings Mainly before 1500. Cambridge, MA: Belknap, 1968, G45"	precepts; speech, advice concerning	— eight-line — aabbcdcd	Speak no evil behind a friend’s back — short poem, accompanied by Latin					Oxford, Bodleian Library Rawlinson C.83 (SC 11948), f. 31: this MS has only 7 folios and does not seem to contain any verse.	Text
DIMEV 2712	It falseth		sins, deadly	— four-line — aaaa	Cupiditas — four monorhyming lines						Text
DIMEV 2713	It fell about the Lamastide	For later variants see 5432 and 1577.	historical poems; Otterburn, battle of (1388); Percy, Henry (Hotspur)	— four-line — abab	‘þe battel of Otterburn’ — seventy quatrains				‘þe battel of Otterburn’		Text
DIMEV 2714	It fell against a midsummer month	"Variants on the ballad printed on ballad sheets, of which ed. Percy (1765)
XPercy, Thomas. Reliques of Ancient English Poetry. 3 vols. London: J. Dodsley, 1765, and subsequent editions, 2.193; Child (1857)
XChild, Francis James. English and Scottish Ballads. 8 vols. in 4, forerunner of next entry. Boston: Houghton, Osgood, also Little, Brown, 1857-58 et seq, 7.55-71; Child (1882)
XChild, Francis James. The English and Scottish Popular Ballads. 5 vols. in 10 parts. Boston and New York: Houghton, Mifflin, 1882-98, 3.343-6, 4.503-7."	songs; political poems	— eight-line, four-line — abcbdefe, ababcded, abcb	‘The Songe of Sir Andraye Barton, Knight’ — forty 8-line stanzas stanzas (abcbdefe, sometimes ababcded) and a concluding quatrain (abab) or eighty-two 4-line stanzas (abcb)				‘The Songe of Sir Andraye Barton, Knight’		Text
DIMEV 2715	It fell against the next night		carols, convivial	— four-line — aaab	The Fox and the Goose — six quatrains (aaab) and burden: ‘Pax uobis quod the fox / ffor I am comyn to toowne’						Text
DIMEV 2716	It fell six days before the pase		sermon texts, Gospel	— two-line — aa	Gospel for Monday after Palm Sunday, in the ‘expanded’ Northern Homily Cycle				Northern Homily Cycle		Text
DIMEV 2717	It fell sometimes in the land of Beame	Cf. 4191.	romances	— two-line — aa	Eger and Grine — in couplets				Eger and Grine		Text
DIMEV 2718	It is a merchant and spendeth not		paradoxes	— seven-line — aaaaabb	Paradoxes — seven lines						Text
DIMEV 2719	It is a wonder by the Rood		aphorisms	— two-line — aa	A poser attacking duplicity — two couplets						Text
DIMEV 2720	It is beginning of the days brightness		sermons, verse in	— three-line — aaa	Three characteristics of dawn, which are compared with advent/birth of the Virgin Mary — three rhyming lines in a sermon						Text
DIMEV 2721	It is bitter to mans mend	Formerly included in 849.	death	— three-line — aaa	The character of Death — one triplet in John Grimestone’s sermon notebook		John Grimestone				Text
DIMEV 2722	It is bread from heaven come / Flesh & blood of Mary it nam		carols, of the Eucharist; Eucharist	— four-line — aaab	A Song in honour of the Eucharist — seven quatrains (aaab) and burden: ‘Worchyp we bothe more & lesce / Crystes body in furme of bred’						Text
DIMEV 2723	It is but a simple oak		proverbs; Paston, John; Brews, Elizabeth	— two-line — aa	"Proverbial couplet in a letter from Elizabeth Brews to John Paston, February 1477 [Davis (1971)
XDavis, Norman. The Paston Letters and Papers of the Fifteenth Century. 2 vols. Oxford: Clarendon, 1971, 1976, No. 782, and repeated in No. 785 (numbers 896 and 899 in Gairdner (1904)
XGairdner, James. The Paston Letters. 6 vols. London: Chatto & Windus, 1904; repr. Alan Sutton, 1986)]"						Text
DIMEV 2724	It is done there is no more to say		roundels; love, vicissitudes of	— fourteen-line — abbaabababbaab	"A roundel, trnslated from the French of Charles d’Orléans (Champollion-Figeac (1842)
XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 37) — 14 lines"		Charles d’Orléans				Text
DIMEV 2725	It is doubt in mans richesse	From Gregory, Moralium 7.24 (PL 75.781).	wealth	— two-line — aa	The problem of wealth — one couplet translating ‘Cum quis positus in prosperitate diligitur, incertum valde est vtrum possessor vel prosperitas diligatur’ which precedes it in John Grimestone’s preaching notebook		John Grimestone				Text
DIMEV 2726	It is first the floritif of fairness	Cf. 150, 157, 3045, 4838.	sermons, verse in	— three-line — alliteration	Three rhyming alliterative lines in an English prose homily						Text
DIMEV 2727	It is folly a man a thing to begin		proverbs	— two-line — aa	Proverbial couplet about the folly of attempting what one has not intelligence to do — one couplet						Text
DIMEV 2728	It is folly to buyen a beggar if it be well bought	Formerly listed as a single work, but some couplets double-listed separately; see 102 (‘A lordis purpose…’), 118 (‘A Man wythe owtt mercy…’), 190 (‘A weld best a man may meyke’), 836 (‘Bettyr it ys a lye…’), 1892 (‘He that of wast…’), 2727 (‘Yt ys ffolly a man…’), 3017 (‘Labur in youth…’), 3353 (‘Man on the molde…’).	proverbs	— two-line — aa	First of a series of ten disconnected proverbial couplets — one couplet		‘Wyllughby’				Text
DIMEV 2729	It is full hard to know any estate	Immediately preceded by Lydgate’s Horse Sheep & Goose (1075) in this MS only, and followed by 5534; St 6= st. 23 of 5788; st. 7 = st. 1 of 5410 and = 5411.	proverbs; abuses of the age; mutability	— seven-line — ababbcc	Proverbial verses showing the influence of Cato’s ‘Distiches’ — in rhyme royal stanzas.						Text
DIMEV 2730	It is full heavy chastity		marriage; carols, of marriage	— five-line — ababc	John Audelay, ‘De matrimonio mulierum’ — seven 5-line stanzas (ababc) with ‘All day thou seest’ refrain and burden: ‘Avyse youe wemen wom ye trust / & beware of had i wys’		John Audelay		‘De matrimonio mulierum’		Text
DIMEV 2731	It is full lightly I-born		obedience	— two-line — aa	De Obediencia — two couplets translating ‘Portatur leuiter quod portat quisque libenter’ which precedes it in John Grimestone’s sermon notebook		John Grimestone				Text
DIMEV 2732	It is heard of saints sere		Nicholas, saint, life of	— two-line — aa	Life of St. Nicholas, in the Scottish Legendary				Scottish Legendary		Text
DIMEV 2733	It is I-come to this town		sermons, verse in	— four-line	A quatrain in a Latin sermon						Text
DIMEV 2734	It is I-found in Holy Writ		devotional verse; pardon, promise of		Six lines assuring pardon to those who say the prayer which follows						Text
DIMEV 2735	It is in harvest carts to clatter	Cf. 710.	aphorisms; schoolboy exercises	— five-line — aaaaa	Aphoristic lines: a schoolboy’s exercises, with a Latin translation — five monorhyming lines						Text
DIMEV 2736	It is known in every shire		tongue, destructive power of; carols, of moral counsel	— four-line — aaab	On the evil wrought by ‘wekyd tongges’ — five quatrains (aaab) and burden: ‘A man that con his tong stere / He ther not rek wer that he go’						Text
DIMEV 2737	It is law that faileth not		anagrams		An anagram on L. O. V. E. — four lines						Text
DIMEV 2738	It is merry in hall	"Cf. Smith (1935)
XSmith, William George. The Oxford Dictionary of English Proverbs. Oxford: Clarendon, 1935; rev. ed. 1948; Tilley (1950)
XTilley, Morris Palmer. A Dictionary of the Proverbs in England in the 16th and 17th Centuries. Ann Arbor, MI: University of Michigan, 1950, H55; Meech (1940)
XMeech, Sanford Brown. “A Collection of Proverbs in Rawlinson MS D 328.” Modern Philology 38 (1940-41): 113-32, 129."	proverbs; translations	— two-line — aa	Proverbial couplet translating ‘Aula gaudescit &c.’						Text
DIMEV 2739	It is no right all other lusts to lose	Cf. 4138.	erotic verse	— seven-line — ababbcc	‘Balade by Chaucer’ on swiving — three stanzas rhyme royal				‘Balade by Chaucer’; ‘Balade of a Reeve’		Text
DIMEV 2740	It is no wise mans lore		proverbs; translations	— two-line — aa	A proverbial couplet translating Non est consultum pro paruo perdere multum, which follows						Text
DIMEV 2741	It is not worth to a child his friends goodness		virtue; translations	— four-line — abba	Virtue is not hereditary — one quatrain translating ‘Nil prodest filio probitas parentis’ etc. which precedes it (left column) in John Grimestone’s sermon notebook		John Grimestone				Text
DIMEV 2742	It is one that seemeth a hundred		paradoxes; transubstantiation; Eucharist	— two-line — aa	four lines						Text
DIMEV 2743	It is praise to know high thing		proverbs; translations		A proverbial tag translating Latin						Text
DIMEV 2744	It is so pretty in every degree	Possibly an embryonic carol.	love lyrics	— four-line	The deluded lover — four quatrains and 2-line refrain						Text
DIMEV 2745	It is the property of a gentleman	"Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 837."	gentleman, qualities of; proverbs	— two-line — aa	Proverbial statement about gentlemen’s speech — one couplet						Text
DIMEV 2746	It is to me a right great joy	"See Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 838."	songs		One line only, serving as a round.						Text
DIMEV 2747	It is to virtue full good and necessary		Arthur, prince of Wales; Catherine of Aragon; pageant verses; occasional verse	— seven-line — ababbcc	The speech of Job in the pageant celebrating the marriage of Prince Arthur and Princess Catherine — four stanzas rhyme royal						Text
DIMEV 2748	It is unknow / What man built this city now	Cf. 3801.	Chester castle; chronicles, verse in	— two-line — aa	A verse insert on Chester Castle in Trevisa’s translation of Higden’s Polychronicon (Bk I, Cap. 48) — thirteen doggerel couplets		John Trevisa; Ranulf Higden		Polychronicon	Glasgow, Glasgow University Library Hunterian 83 (T.3.21): this is Brut chronicle; New York, Pierpont Morgan Library M875 [olim Helmingham Hall]: Only Trevisa’s De Proprietatibus here, not Polychronicon.	Text
DIMEV 2749	It is well found a passing great damage		evils of the time	— seven-line — ababbcc	Against ‘double intendement’ — three stanzas rhyme royal with refrain.						Text
DIMEV 2750	It nis but truth I-wend on afte		dialecticians, against	— two-line — aa	‘Nego’ — twenty-four lines				‘Nego’		Text
DIMEV 2751	It peases them that be wroth		Christ, blood of; sermons, verse in	— five-line — abbbb	Five virtues of Christ’s blood — five lines in a sermon for Passiontide translating the Latin text which precedes them						Text
DIMEV 2752	It resteth and it queemeth		poverty	— two-line — aa	The Four Benefits of Poverty — a single couplet				The Four Benefits of Poverty		Text
DIMEV 2753	It reveth a man his strength and putteth him in great feebleness		sermons, verse in	— three-line — aaa	A verse tag in a collection of sermons by John Waldeby — one triplet		John Waldeby				Text
DIMEV 2754	It seems white and is red / It is quick and seems dead	Cf. The ‘Long Charter’ of Christ, B Text, lines 117-20 (6650), and 5665.	Host, description of; riddles	— four-line, five-line — aaaa, aaabb	Rhyming lines on the Host — one quatrain						Text
DIMEV 2755	It standeth written in a book		proverbs	— two-line — aa	One gnomic couplet						Text
DIMEV 2756	It strengtheth man in his fighting		Christ, body of; Eucharist	— four-line — abab	The benefits of Corpus Christi — two quatrains in John Grimestone’s sermon notebook		John Grimestone				Text
DIMEV 2757	It that I give I have / It that I lend I crave	Cf. 5140, 4811, 6621.7, 2165, and 6554.	money; precepts	— two-line — aa	Moralizing lines on lending money — eight lines						Text
DIMEV 2758	It was a knight beyond the sea / That rich man was wont to be	Cf. 85, 3913.	Virgin Mary, miracles of; devil	— two-line — aa	The Virgin Mary comes to the Devil instead of his Victim, in the Northern Homily Cycle				Northern Homily Cycle		Text
DIMEV 2759	It was a maid of brenten arse		carols, amorous; songs, erotic	— three-line — aaa	‘My ladyes water-myll’: an erotic carol — four 3-line stanzas (aaa) and burden: ‘Synge dyllum dyllum dyllum dyllum / I can tell you and I wyll / Of my ladyes water-myll’				‘My ladyes water-myll’		Text
DIMEV 2760	It was a man as I heard say / That to Saint James took the way	For another version, see 4620.	pilgrims/pilgrimage; legends; miracles	— two-line — aa	The Pilgrim to St. James, in the Northern Homily Cycle				Northern Homily Cycle	London, British Library Addit. 28010	Text
DIMEV 2761	It was a rich man o land / Full far beyond the sea woning	For another version see Handlyng Synne (1283), lines 5569-5944.	Piers Toller	— two-line — aa	Piers Toller, in the Northern Homily Cycle				Northern Homily Cycle		Text
DIMEV 2762	It was a squire of low degree	"For a shorter version in 170 lines see London, British Library Addit. 27879, ff. 444-6, ed. Hales and Furnivall (1867)
XJohn Wesley Hales, and Frederick James Furnivall. Bishop Percy’s Folio Manuscript: Ballads and Romances. 3 vols. London: Trübner, 1867-68, 3. 263."	romances	— two-line — aa	The Squyer of Lowe Degre — 1132 lines in couplets				The Squyer of Lowe Degre		Text
DIMEV 2763	It was an Earl of much might / Beyond the sea Sir Theobald he hight		Theobald, count	— two-line — aa	Count Theobald, in the Northern Homily Cycle				Northern Homily Cycle	Cambridge MA, Harvard University, Houghton Library, Eng. 1032, ff. 1-2v: see 1818.	Text
DIMEV 2764	It was once a gardener / That to God was both lief and dear		tales	— two-line — aa	The Thrifty Gardener, in the Northern Homily Cycle				Northern Homily Cycle ; The Thrifty Gardener		Text
DIMEV 2765	It was once a hende knight / That slew another knight in fight	For another version see 846.	miracles; tales	— two-line — aa	The Knight who forgave the Slayer of his Father, in the Northern Homily Cycle				Northern Homily Cycle ; The Knight who forgave the Slayer of his Father		Text
DIMEV 2766	It was upon a holiday / As Luke in our gospel gan say	For the version in the ‘expanded’ Cycle see 4683.	sermon texts, Gospel	— two-line — aa	Gospel for the Seventeenth Sunday after Trinity, in the Northern Homily Cycle				Northern Homily Cycle		Text
DIMEV 2767	It was upon a Saturday a little before prime		Virgin Mary; Christ, birth of; Christ, Passion of; devil	— two-line — aa	The birth and crucifixion of Christ — six couplets						Text
DIMEV 2768	It was upon a Sheer Thursday that our Lord arose		Judas Iscariot	— two-line — aa	The Bargain of Judas — eighteen couplets						Text
DIMEV 2769	It wasteth		sins, deadly	— four-line — aaaa	On lechery — four monorhyming lines following Latin Luxuria facit hec…						Text
DIMEV 2770	It were speedful whoso couth		Mary of Egypt, saint, life of; saints’ lives	— two-line — aa	Life of St. Mary of Egypt in the Scottish Legendary				Scottish Legendary		Text
DIMEV 2771	It wern four letters of purpose I / of M and A R and I		carols, to Virgin Mary; Virgin Mary, hymns to	— four-line — aaab	A song in praise of the Virgin Mary — four quatrains (aaab) and burden: ‘M & A & R & I / Syngyn I wyl a newe song’						Text
DIMEV 2772	It will stand sink into mans brain		sin; faith; aphorisms	— four-line — aaaa	Faith a remedy for sin — one monorhyming quatrain						Text
DIMEV 2773	Italicis Olilant Lombards waymenten		translations; political poems	— four-line — aaaa	National reactions to ?a political event, or stereotypes — four macaronic monorhyming lines	Latin					Text
DIMEV 2774	Ivy is both fair and green		carols, holly and ivy	— seven-line — ababccc	A carol in praise of ivy — five 7-line stanzas (ababccc) including bob and burden: ‘Ivy ys good & glad to se / Iuy is fair in hys degre’						Text
DIMEV 2775	I-wandering full weary and walking the ways	Formerly 1378.5.	alphabetic poems; flowers	— alliteration, four-line — abab	An ABC alliterative poem on flowers, one stanza to each letter of the alphabet — 15 alliterative quatrains (abab)						Text
DIMEV 2776	Iwis iwis I remember me			— eight-line — ababbcbc	‘Why plesyth not age with no revylry’ — one 8-line stanza				‘Why plesyth not age with no revylry’		Text
DIMEV 2777	I-written I find a good story / The Pope it wrote Saint Gregory	For other texts see 134 and 4980.	Trental of St Gregory; Gregory, saint; exempla	— two-line — aa	The Trental of St. Gregory				The Trental of St. Gregory		Text
DIMEV 2778	Jack Dawe thou havest blasphemed and reason hast	Cf. 6034.	friars, criticism/satire of	— irregular, alliteration	Jack Upland’s Rejoinder (to 4098.3) — in irregular non-rhyming lines, partly alliterative, partly prose				Jack Upland’s Rejoinder		Text
DIMEV 2779	Jack Miller asketh help to turn his mill aright	Text preserved in early chronicles, such as Walsingham and Knighton, and followed in most later chronicles; cf. 2953.	Peasants’ Revolt (1381)	— irregular	Jack Miller’s Song — seventeen irregular lines				Jack Miller’s Song		Text
DIMEV 2780	Jack of Norfolk be not too bold		warnings; Howard, John, duke of Norfolk	— two-line — aa	A traditional couplet in early chronicles, a warning, A.D. 1485, to John Howard, Duke of Norfolk						Text
DIMEV 2781	Jack Shep Trench Sovereign Tom Miller Tyler Jack Straw		Peasants’ Revolt (1381); satire	— two-line — aa	A satirical rhyme from the Peasants’ Revolt — one long couplet among similar rhyming lines in Latin						Text
DIMEV 2782	Jack Trueman doth you to understand		letters; abuses, of the age; evils of the time; chronicles, verse in; Peasants’ Revolt (1381)	— irregular	Jack Trueman’s Epistle on the Abuses of the Age — eleven irregular lines				Epistle on the Abuses of the Age		Text
DIMEV 2783	Jangler cum jasper lepper galper quoque dragger	Cf. 1173.3, 2021, and 6084.	Tutivillus		Three macaronic lines on Tutivillus	Latin					Text
DIMEV 2784	Jankin by name		scribes; bookplates	— four-line — abab	A Book tag — four lines						Text
DIMEV 2785	Jankin of London	Cf. 327.	sermons, verse in	— two-line — aa	A dance-refrain — two lines						Text
DIMEV 2786	Jerusalem in English is / As mickle to say as sight of peace	Portions of the text show verbal similarities to the Pricke of Conscience. For the text in the ‘expanded’ Cycle see 570.	sermon texts, Gospel	— two-line — aa	Gospel for Tenth Sunday after Trinity, in the Northern Homily Cycle				Northern Homily Cycle		Text
DIMEV 2787	Jerusalem rejoice for joy		Christ, birth of	— eight-line — ababbcbc	On the Nativity, attributed to William Dunbar — five 8-line stanzas with refrain, ‘Illuminare Jerusalem’	Latin			On the Navity		Text
