Id	First Line	Description	Title(s)	Author(s)	Subject(s)	Versification	Note
DIMEV 3564	Most virginal flower of all most excellent	Author’s salute to the Virgin Mary in relation to the first of seven joys, at end of Part I of Fabyan’s Chronicle, Part I, cap. 27, translating Latin verse of which the beginning only is given preceding — one stanza rhyme royal			chronicles, verse in; Virgin Mary, salutation to; Virgin Mary, joys of	— seven-line — ababbcc	Second word corrected to ‘virgynall’ in subsequent printings.
DIMEV 3565	Most worthy prince of whom the noble fame	A Defence of Holy Church, by Lydgate — twenty-one stanzas rhyme royal	 A Defence of Holy Church	John Lydgate	Holy Church; political poems; advice, to princes	— seven-line — ababbcc	
DIMEV 3566	Mother and maiden that never did miss	Address to the Virgin — one couplet at the beginning of a sermon, Intravit castellum (Luke 10:38)			sermons, verse in; Virgin Mary	— two-line — aa	
DIMEV 3567	Mother mild flower of all	A prayer to the Virgin Mary — three 8-line stanzas			prayers, to Virgin Mary; Virgin Mary, prayers to	— eight-line — abababab	
DIMEV 3568	Mother of God and Virgin undefouled	‘Mother of God’, attributed to Hoccleve — twenty stanzas rhyme royal	 Mother of God	Thomas Hoccleve (attrib.)	Virgin Mary, hymns to	— seven-line — ababbcc	Perhaps originally a triad of twenty-one stanzas.
DIMEV 3569	Mother of life o cause of all our wealth	A prayer to the Virgin Mary by Hoccleve — fifteen 8-line stanzas		Thomas Hoccleve	Virgin Mary, prayers to; prayers, to Virgin Mary	— eight-line — ababbcbc	
DIMEV 3570	Mother of mercy shield him from th’orrible fiend	Probable epitaph of William Caxton: ‘Bring hym to lyff eternall that neuyr hath ynd’ — one couplet			Caxton, William; epitaphs	— two-line — aa	
DIMEV 3571	Mother of nurture best beloved of all	To his lady Margaret — eight stanzas rhyme royal and 8-line Envoy			envoys; Margaret, saint	— seven-line — ababbcc	Perhaps originally a triple balade.
DIMEV 3572	Mourning mourning	On the Inconstancy of his Mistress — seven 6-line stanzas andthree additional lines			lover’s lament; dialogues	— six-line — aabccb	
DIMEV 3573	Mourning my heart doth sore oppress	A lover’s complaint — seven quatrains with refrain, ‘Alas I cannot be lovyd agayne’ or ‘Alas whan shall I be louid agayne’			lover’s lament	— four-line — abab	
DIMEV 3574	Much harm I have I-told and more I tell can	Lives of SS. Crispin and Crispinian in one MS of the South English Legendary	 South English Legendary		Crispin and Crispinian, saints, lives of; saints’ lives	— two-line — aa	
DIMEV 3575	"No records were found. Use the ""IMEV Number"" search menu to find the sample records                            entered in this prototype version of the database."	close					
DIMEV 3576	Much is that me singeth and readeth	The Five Joys of the Virgin Mary, by William of Shoreham — fifty-nine 6-line stanzas	 The Five Joys of the Virgin Mary	William of Shoreham	Virgin Mary, joys of	— six-line	
DIMEV 3577	Multi multa sciunt / Saint Bernard plainly doth testify	‘Know Thyself’ — six monorhyming Latin lines alternating with six monorhyming English lines			advice; self knowledge	— two-line — aa	
DIMEV 3578	Musing alone this ender night	‘Of deming’, possibly by William Dunbar — eleven 5-line stanzas with refrain, ‘So sall I nocht vndemit be’	 ‘Of deming’	William Dunbar (?)	advice, moral	— five-line — aabab	
DIMEV 3579	Musing alone void of consolation	A poem by Henry Baradoun (fl. 1483) — six 8-line stanzas		Henry Baradoun	laments, sinners’	— eight-line — ababbcbc	
DIMEV 3580	Musing upon the mutability	An Elegy on the deaths of Eleanor Cobham, John Beaufort and Duke Humphrey — eight 8-line stanzas	 An Elegy on the deaths of Eleanor Cobham, John Beaufort and Duke Humphrey		elegies; mutability; Humphrey, duke of Gloucester; Beaufort, John; Cobham, Eleanor; historical poems	— eight-line — ababbcbc	
DIMEV 3581	Musing upon the restless business	Hoccleve’s De Regimine Principum — 780 stanzas rhyme royal.	 De Regimine Principum	Thomas Hoccleve	political poems; advice, to princes; princes, advice to; envoys	— seven-line — ababbcc	
DIMEV 3582	My best beloved lady and mistress	‘A Lettyr’ — four stanzas rhyme royal	 ‘A lettyr’	William de la Pole (attrib.)	love letters; lovers, absence/separation of; lovers, addresses to beloved; lover’s plea	— seven-line — ababbcc	
DIMEV 3583	My cares comen ever anew	The faithful lover — two quatrains			lovers, faithful; songs	— four-line — abab	
DIMEV 3584	My colors been both bright and sheen	Words of the bird of paradise accompanying an illustration of same — two couplets	 ‘ffor I am a brid of paradise’		illustrations, verse accompanying	— two-line — aa	
DIMEV 3585	My daily woe	Title of a courtly love lyric mentioned in a bill of a music teacher c. 1473-5			love lyrics		
DIMEV 3586	My darling dear my daisy flower	The lover deceived, by John Skelton — four stanzas rime royal with couplet heading: ‘With lullay lullay like a childe / Thou slepest too long thou art begiled.’ (Utley (1944) XUtley, Francis Lee. The Crooked Rib. Ohio State Contributions in Language and Literature 10. Columbus, OH: Ohio State UP, 1944, 192; Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TP 1154).		John Skelton	carols, amorous	— seven-line — ababbcc	
DIMEV 3587	My daughter my darling	A recurring couplet in a Latin homily translating the text: ‘Audi filia et vide’ (Ps. 44.11)			sermons, verse in; scripture texts, translations of	— two-line — aa	Cf. 2085.
DIMEV 3588	My dear child first thy self enable / With all thine heart…	Stans Puer ad Mensam, ascribed to Lydgate — fourteen stanzas rhyme royal, with Envoy	 Stans Puer ad Mensam	John Lydgate	manners, treatises on; children, instructions for behavior of; instructions, father to son; envoys	— seven-line — ababbcc	Cf. Brentano (1935) XBrentano, M. T. Relationship of the Latin Facetus Literature to the Medieval English Courtesy Poems. Lawrence, KS: University of Kansas, 1935, 2.48-9; Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TP 118; for an expanded version see 2828: for a version wholly distinct from Lydgate’s see 2532.
DIMEV 3589	My dear friends I you pray	Introductory couplet to Quinta Tabula in Speculum Christiani with heading ‘Hec tria coinquinant hominem’			introductions, to prose texts; prayers; advice	— two-line — aa	For MSS, see 3492.
DIMEV 3590	My dear leman behold thou me	Christ on the tree — four couplets in John Grimestone’s sermon notebook		John Grimestone	Christ, appeal of, to man	— two-line — aa	
DIMEV 3591	My dear son understand this book	‘Ratis Raving’ — 1814 lines in couplets	 ‘Ratis Raving’		instruction, father to son	— two-line — aa	
DIMEV 3592	My death I love my life I hate for a lady sheen	De Clerico et Puella — nine monorhyming quatrains	 De Clerico et Puella		dialogues, lovers’	— four-line — aaaa	
DIMEV 3593	My death my judge in heaven and hell	Advice to live well — five couplets			advice, spiritual; precepts; death, approach of	— two-line — aa	
DIMEV 3594	My fair lady so fresh of hue	A Satirical Description of his Lady — twenty-one 8-line stanzas with refrain: ‘When she hath on her hood of grene’			satire; love lyrics, satiric	— eight-line	
DIMEV 3595	My Father above beholding thy meekness	Jesus to the Virgin Mary, the Rose of Womanhood — three stanzas rhyme royal			Christ, address to Virgin Mary; Virgin Mary, attributes of	— seven-line — ababbcc	
DIMEV 3596	My fellow for his sooth saw / hath lost his life and lieth full low	Rhyming comment of the second cock in the Story of the Three Cocks in the Gesta Romanorum — one couplet	 Gesta Romanorum		tales, beast; exempla; sermons, verse in	— two-line — aa	Cf. 4798 and 5235.
DIMEV 3597	My flesh that wroght was in Mary blood	‘Caro mea vere cibus’ — three 3-line stanzas	 ‘Caro mea vere cibus’		devotional verse; Christ, body of	— three-line	
DIMEV 3598	My folk now answer me	‘Popule meus quid feci tibi’ — eleven quatrains (abab)	 ‘Popule meus quid feci tibi’		Christ, appeal of, to man	— four-line — abab	See Lawley (1880) XLawley, Stephen Willoughby. Breviarum ad usum insignis ecclesiae Eboracensis. Vol. 1. Surtees Society 71 (1880), col. 334.
DIMEV 3599	My folk what have I do thee	‘Popule meus quid feci tibi’, by William Herebert — thirteen stanzas of varying length, perhaps a proto-carol	 ‘Popule meus quid feci tibi’	William Herebert	Christ, appeal of, to man	— two-line, three-line — aa, aaa	Cf. Robbins (1957) XRobbins, Rossell Hope. “Friar Herebert and the Carol.” Anglia 75 (1957): 194-8, 196-7; possibly should be re-indexed since currently listed under first line of burden, according to Luria and Hoffman (1974) XMaxwell Sidney Luria, and Richard L. Hoffman. Middle English Lyrics. New York: Norton, 1974.
DIMEV 3600	My friend after I trow a week or two	Thomas Hoccleve, Prologue to the prose Moralizing upon the tale of Gerelaus — four stanzas rhyme royal		Thomas Hoccleve	prologues; moralizing	— seven-line — ababbcc	
DIMEV 3601	My friend if thou will be a servitor	Instructions to Serving Men — four 8-line stanzas, with refrain ‘gif thou will be a seruitour’			manners, treatises on; servants, instructions to; instructions, to servants	— eight-line — ababbcbc	Cf. 2556.
DIMEV 3602	My ghostly father I me confess	The ‘confession‘ of a stolen kiss, a roundel by Charles d’Orléans — fourteen lines (two rhymes)		Charles d’Orléans	roundels; confession	— fourteen-line — abbaabababbaab	
DIMEV 3603	My good dame was one gay wife but she was right gend	‘Kynd Kittok’ by Dunbar — three 13-line stanzas	 ‘Kynd Kittok’	William Dunbar	women, satire directed against; women, erring; wives, erring	— thirteen-line — ababababcdddc	
DIMEV 3604	My head did ache yester night	‘On his heid-ake’ by William Dunbar — three 5-line stanzas	 ‘On his heid-ake’	William Dunbar	satire; occasional verse	— five-line — aabba	
DIMEV 3605	My heart is in great mourning	Dame Pitiless — four quatrains including refrain: ‘My lady hath forsaken me’			lover’s lament	— four-line	Cf. 3618.5.
DIMEV 3606	My heart is left on the land	Mourning for a dead beloved — one cross-rhymed quatrain			farewells, lovers’; commemorative verse, lovers’; lovers, death of	— four-line — abab	
DIMEV 3607	My heart is so plunged in grief	Complaint against Fortune, or dirge for loss of one’s lady? — one 8-line stanza (with music)			Fortune, complaint against; commemorative verse, lovers’; lovers, death of	— eight-line — ababbcbc	
DIMEV 3608	My heart is sore but yet no force	On the absence of his only mistress — thirteen quatrains			lover’s laments; women, as speakers/narrators	— four-line — abab	Lines 9-12 = lines 1-4 of 1801.
DIMEV 3609	My heart is yours now keep it fast	True love — five quatrains			love, nature of	— four-line	
DIMEV 3610	My heart is yours ye may be sure	Faithful love — one couplet signed ‘Bourscher Richard Daniel’			love, faithful	— two-line — aa	
DIMEV 3611	My heart my mind and my whole pure	A pledge of devotion to his lady — four stanzas rhyme royal			lovers, addresses to beloved; love, faithful; hope, lovers’; lovers, hopes of; Taverner; songs	— seven-line — ababbcc	
DIMEV 3612	My heartly love is in your governance	A roundel by Charles d’Orléans — 7 lines (abbaaba), incomplete (probably 14-line type)		Charles d’Orléans	roundels; lovers, addresses to beloved	— seven-line — abbaaba	
DIMEV 3613	My hearts joy all mine whole pleasaunce	To my Heart’s Joy — three 8-line stanzas and 4-line Envoy			lovers, addresses to beloved; envoys	— eight-line — ababbcbc	For a version in rhyme royal see 3509.
DIMEV 3614	My hearts treasure and sweet assured foe	‘To a Ladye quhone he list to feyne’, by William Dunbar — seven stanzas rhyme royal	 ‘To a Ladye quhone he list to feyne’	William Dunbar	lovers, addresses to beloved	— seven-line — ababbcc	
DIMEV 3615	My hope maiden I ask and crave	Six couplets spoken by Anima, the Virgin Mary, Filius, Pater, translating six Latin lines with medial rime, ‘O spes in morte’ etc.			dialogues, death and man; Virgin Mary, as speaker in debate; death	— two-line — aa	For other versions see 3021 and 3936.
DIMEV 3616	My joy it is from her to here	Mutual affection — five cross-rhymed quatrains			love lyrics	— four-line	
DIMEV 3617	My king the water greet / and the blood he sweat	‘Meditacio de passione’ in the treatise, Ego dormio — 41 rhyming lines in various stanzaic patterns	 Meditacio de passione; Ego dormio		Passion, meditations of; Christ, passion of	— variable, five-line, two-line — aaaaa, aa	For another text see 1813; includes the quatrain, 6540.5; also in this treatise is 3651.
DIMEV 3618	My ladies and my mistresses each one	Ragmanys Rolle — 208 lines in twenty-six 8-line stanzas	 Ragmanys Rolle		women, praise of; women, good qualities of; old age, praise of; marriage	— eight-line — ababbcbc	For one stanza occurring separately see 6543; cf. Dodsley (1827) XDodsley, Robert. A Select Collection of Old Plays. 12 vols. London: H. Nichols, 1780, 1827, 12.308.
DIMEV 3619	My lady hath me in that grace	A devoted mistress — two cross-rhymed quatrains and additional refrain, ‘Why shall not I’, and a 4-line introductory burden: ‘Why shall not I / Why shall not I to my lady / Why shall not I be trew / Why shall not I’			love lyrics	— four-line — abab	
DIMEV 3620	My lady went to Canterbury	A nonsense carol — eight quatrains (abab) and 4-line burden: ‘My harte of golde as true as stele / As I me lened to a bough / In fayth but yf ye loue me well / Lorde so robyn lough’			nonsense; carols, humorous	— four-line — abab	Cf. Ravenscroft (1609) XRavenscroft, Thomas. Pammelia Mysicks Miscellanie. London: Barley, 1609.
DIMEV 3621	My lief child I counsel ye	Grammatical Rules — sixteen couplets			instruction, grammatical; utilitarian verse	— two-line — aa	
DIMEV 3622	My lief friend dear	Horn Childe and Maiden Rimhild — 1136 lines in 12-line stanzas (aabaabccbddb)	 Horn Childe and Maiden Rimhild		romances	— twelve-line — aabaabccbddb	
DIMEV 3623	My lief is faren in land	A lover’s lament — one 7-line stanza (ababcbc) introduced by 3713 and serving as sixth stanza of same			lover’s lament	— seven-line — ababcbc	First line quoted in Chaucer’s Nun’s Priest’s Tale, (Canterbury Tales VII.2879; 142).
DIMEV 3624	My lief life that livest in wealth	A warning spoken by the soul of a dead person — eight quatrains (abab)			warnings; women, as speakers/narrators; death	— four-line — abab	
DIMEV 3625	My life I end in sorrow and woe	Christ’s sufferings to save mankind, in a Latin prose homily, ‘Amore langueo — one couplet			sermons, verse in; Christ, sufferings of	— two-line — aa	In sermon, ‘Dominica in passione vel in die parasceue’.
DIMEV 3626	My little fool / Is gone to play	His coy mistress — one short stanza with a ‘How frisca loly’ refrain			love lyrics		Formerly 2255.3.
DIMEV 3627	My little pretty one my pretty bony one	A jolly wanton — four 5-line stanzas with refrain, ‘nou doute she ys a loue of all that euer I see’			love lyrics	— five-line	Cf. 4825.
DIMEV 3628	My lord is gone that here in grave was laid	‘The complaynt of Mary Magdaleyne’			Mary Magdalene, saint; complaints; Christ, burial and resurrection		
DIMEV 3629	My lord when ye this book will over read	Dedication Verses — two stanzas rhyme royal			dedications	— seven-line — ababbcc	
DIMEV 3630	My lord with heart I pray thee withouten voice will still	Oracio bona — one couplet from John Grimestone’s preaching notebook		John Grimestone	prayers; God, will of	— two-line — aa	
DIMEV 3631	My lords leman is like the moon	On the fickleness of women, in a Latin sermon — one couplet			women, faithlessness of; sermons, verse in	— two-line — aa	
DIMEV 3632	My lords of Chalker please you to hear	‘To the lordis of the kingis chalker’, by William Dunbar — four 5-line stanzas	 ‘To the lordis of the kingis chalker’	William Dunbar	Chalker, lords of; satire; political poems	— five-line — aabba	
DIMEV 3633	My love and lady whom I most desire	A roundel, translated from the French of Charles d’Orléans (Champollion-Figeac (1842) XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 115) — 14 lines		Charles d’Orléans	roundels; love lyrics; lovers, addresses to beloved	— roundel	
DIMEV 3634	My love is fall upon a may	Christ the Champion for Love — four couplets in John Grimestone’s sermon notebook		John Grimestone	Christ, attributes of	— two-line — aa	
DIMEV 3635	My love only my joy and my mistress	A roundel, translated from the French of Charles d’Orléans (Champollion-Figeac (1842) XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 114) — 14 lines		Charles d’Orléans	roundels; love lyrics; lovers, addresses to beloved	— roundel	
DIMEV 3636	My love she mourneth / For me for me	Defend all true lovers — eleven 6-line tail-rhyme stanzas			love, divine and human; love, of Christ; Christ, love toward	— six-line	Cf. 3637 and 5886; for a religious adaptation cf. 6551.
DIMEV 3637	My love she mourns for me	A fragment of a love song — one couplet			love lyrics	— two-line — aa	Cf. 3636.
DIMEV 3638	My love so sweet	A true love banished — five 6-line tail-rhyme stanzas			lovers, absence, separation of	— six-line	
DIMEV 3639	My loving friend amorous Bune	A humorous letter from one young woman to another — twenty-three couplets			letters; women, as speakers/narrators	— two-line — aa	
DIMEV 3640	My master Bukton when of Christ our king	Geoffrey Chaucer, L’Envoy de Chaucer a Bukton — four 8-line stanzas including Envoy	 Envoy de Chaucer a Bukton	Geoffrey Chaucer	envoys; advice, on marriage; marriage, advice on; marriage, trials of	— eight-line — ababbcbc	
DIMEV 3641	My mercy is more than thy miss	Quatrain				— four-line — abab	
DIMEV 3642	My mind is mickle on one that will me nought amende	Lament of a lover — one couplet with medial rhyme, with illustration showing Gawain and wife of Green Knight			lover’s lament; illustrations, verse accompanying; Gawain	— couplet — aa	
DIMEV 3643	My mourning M grieves me sore	A love letter to his mistress by Humfrey Newton — four quatrains		Humfrey Newton	love letters; lovers, addresses to beloved	— four-line — abab	
DIMEV 3644	My name is parrot a bird of paradise	‘Speke, parott’, by John Skelton — 511 lines chiefly in rhyme royal stanzas, and with repeated envoys	 ‘Speke, parott’	John Skelton	birds, as narrators; envoys; political poems; satire	— seven-line — ababbcc	Cf. 5227.
DIMEV 3645	My noble sons and eke my lords dear	Scogan’s ‘Moral Balade’ — twenty-one 8-line stanzas	 ‘Moral Balade’		old age; precepts; advice, moral; prologues	— eight-line — ababbcbc	Cf. 5277.
DIMEV 3646	My own dear heart I greet you well	A love letter — 32 lines in quatrains (abab)			love letters	— four-line — abab	
DIMEV 3647	My pained ghost enforceth me complain	‘Thus pitously my deth ye do contryve’ — three 8-line stanzas with this refrain and 4-line Envoy (associated with Charles d’Orléans)	 ‘Thus pitously my deth ye do contryve’	Charles d’Orléans	complaints; love lyrics; envoys; lovers’ plea	— eight-line — ababcbc	
DIMEV 3648	My poor heart becomen is hermit	Unrequited love, translated from the French of Charles d’Orléans (Champollion-Figeac (1842) XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 96) — three 11-line stanzas and 4-line Envoy		Charles d’Orléans	love lyrics; love, unrequited; envoys	— eleven-line	
DIMEV 3649	My prince in God give thee good grace	A New Year’s Gift to the King, by William Dunbar — five quatrains	 A New Year’s Gift to the King	William Dunbar	occasional verse; James IV, king of Scotland	— four-line — aabb	
DIMEV 3650	My right good lord most gentle knight	A letter to an absent lord, possibly written as if from his devoted mistress, written by John Paston III — eight stanzas rhyme royal			women as speakers/narrators; love letters; lovers absence/separation of	— seven-line — ababbcc	
DIMEV 3651	My song is in singing / My life is in longing	‘Cantus Amoris,’ rhyming lines in the treatise, Ego dormio — 93 lines in varying meters and stanzaic patterns including long-line couplets with or without medial rhyme, monorhyming 3-6-line stanzas, and a six-line stanza aabccb	 Cantus Amoris; Ego dormio		love, divine and human	— two-line, three-line, six-line — aa, aaa, aaaaaa, aabccb	For a small portion of this piece in slightly varied form see 6482; for another verse piece in the same treatise see 3617.
DIMEV 3652	My soul my Lord it magnifieth	Audelay’s paraphrase of the Magnificat — eight 13-line stanzas	 Magnificat	John Audelay	paraphrases; scripture texts, paraphrases	— thirteen-line — ababbcbc	
DIMEV 3653	My sovereign lord for my poor sake	William Cornish, A lady (probably Catherine of Aragon) rejoices at her lover in a chivalric tournament, probably with reference to Henry VIII — six 6-line stanzas (aaabbc) with burden: ‘Whilles lyue or breth is in my brest / My souerayne lord I shall loue best’		William Cornish	tournaments; Henry VIII; carols, amorous; women, as speakers/narrators; Catherine of Aragon	— six-line — aaabbc	See Greene (1977) XGreene, Richard Leighton. The Early English Carols. Oxford: Clarendon, 1935; 2nd ed., rev., Oxford: Clarendon, 1977 (see also Greene (1935) XGreene, Richard Leighton. The Early English Carols. Oxford: Clarendon, 1935; 2nd ed., rev., Oxford: Clarendon, 1977), 487.
DIMEV 3654	My sovereign Savior to Thee I call	‘þe prayere of þe pilgryme þat he sayes afore his deth’: poem occurring in only this MS of the English translation of the Pèlerinage de la Vie Humaine — twelve stanzas rhyme royal	 ‘þe prayere of þe pilgryme þat he sayes afore his deth’; Pèlerinage de la Vie Humaine		prayers, at time of death; death, approach of	— seven-line — ababbcc	
DIMEV 3655	My sweetheart and my lily flower	A commendation of his mistress — eight cross-rhymed quatrains			lovers, addresses to beloved	— four-line — abab	
DIMEV 3656	My thought is full heavy	A song of penitence — three 8-line stanzas with a 4-line refrain and a 3-line burden: ‘Now marcy Ihesu I wyll amend / And neuer more displease the / yff grace thow wylt me send’			penitence	— eight-line	
DIMEV 3657	My thought oppressed my mind in trouble	A lament of a rejected love, without time for pleasure — four stanzas rhyme royal			lover’s lament	— seven-line — ababbcc	
DIMEV 3658	My triumphs also written with letters of gold	Continuation of Hardyng’s chronicle, in which Kings speak of their reigns — rhyme royal stanzas			chronicles; England, kings of; Stephen, King of England; kings of England	— seven-line — ababbcc	Formerly referred to only in headnote to 1174
DIMEV 3659	My truest treasure so traitorly was taken	A song of the Passion — seven quatrains			Passion; Christ, Passion of	— four-line — abab	Followed by 2794; stanza 5 occurs separately in Rolle’s Meditations on the Passion: see 1524.
DIMEV 3660	My very joy and most perfect pleasure	A roundel, translated from the French of Charles d’Orléans (Champollion-Figeac (1842) XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 33) — 14 lines		Charles d’Orléans	roundels; love lyrics; lovers, addresses to beloved	— roundel	
DIMEV 3661	My weal my joy my love and my lady	A roundel, translated from the French of Charles d’Orléans (Champollion-Figeac (1842) XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 49) — 14 lines		Charles d’Orléans	roundels; love lyrics; lovers, addresses to beloved	— roundel	
DIMEV 3662	My will my love my very source of bliss	Service of his mistress, translated from the French of Charles d’Orléans (Champollion-Figeac (1842) XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 64) — three 8-line stanzas and 4-line Envoy		Charles d’Orléans	love lyrics; lovers, addresses to beloved; envoys	— eight-line	
DIMEV 3663	My woeful heart in painful weariness	A love poem signed ‘Sheryngam’ — one stanza rhyme royal		Sheringham	women, as speakers/narrators; love, rewards of	— seven-line — ababbcc	
DIMEV 3664	My woeful heart me stounds            through the veins	Christ describes his crucifixion, by [?Jhon] Clerk — eleven 8-line stanzas with refrain: ‘Benedicta sit sancta Trinitas’		[?Jhon] Clerk	crucifixion; Christ, suffering of	— eight-line — ababbcbc	
DIMEV 3665	My woeful heart of all gladness barren	A complaint against his obdurate mistress — two 8-line stanzas			complaints, lovers’	— eight-line	
DIMEV 3666	My woeful heart plunged in heaviness	A complaint against his mistress — two stanzas rhyme royal with refrain, ‘Alas vnkyndenesse þus haith my herte slayne’			complaints, lovers’	— seven-line — ababbcc	Following 5713.
DIMEV 3667	My woeful heart that sleeps lo in care	True love ‘without departyng all my lyvis space’, translated from the French of Charles d’Orléans (Champollion-Figeac (1842) XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 130) — three 11-line stanzas and 4-line Envoy		Charles d’Orléans	envoys; love lyrics; lovers’ plea; love, unrequited; love, constancy in	— eleven-line	
DIMEV 3668	My woeful heart thus clad in pain	A Love song of a mistress for her absent lover — seven 3-line stanzas, aab, with the same rhyme throughout			women, as speakers/narrators; lovers absence/separation of	— three-line — aab	
DIMEV 3669	My word is Deo gracias / In world where me be well or woe	A second song of Deo Gracias — six 8-line stanzas, with ‘Deo gracias’ refrain			God, goodness of	— eight-line — ababbcbc	
DIMEV 3670	My worshipful and reverent lady dear	An Epistle to his mistress by Humfrey Newton — seventeen quatrains		Humfrey Newton	love letters; love, unrequited; lovers, death of; lovers, verses addressed to	— four-line — abab	
DIMEV 3671	My years be young even as ye see	A girl’s expression of love by Thomas Wyatt — six 5-line stanzas (aaaab) including refrain: ‘Yf yt ware not’, and 2-line burden: ‘Grudge on who liste this ys my lott / Nothing to want if it ware not’		Thomas Wyatt	carols, amorous; women, as speakers/narrators	— five-line — aaaab	
DIMEV 3672	Myself Alone I make great moan / And sigh full sore₀	Four half-erased lines of verse on the absence of his mistress			lover’s lament; lovers, absence/separation of	— four-line — abab	
DIMEV 3673	Myself walking all alone / full of thought of joy desperate	A Complaint against Fortune — three stanzas rhyme royal			Fortune, complaint against	— seven-line — ababbcc	
DIMEV 3674	Naked into this world born am I	‘Of þe seuen ages’: a dialogue between man, the good angel, and the fiend — 56 lines in couplets and quatrains (abab)	 ‘Of þe seuen ages’		dialogues; ages of man’s lif	— two-line, four-line — aa, abab	
DIMEV 3675	Nas there never carion so loath	The loathesomeness of Death, a tag in the Fasciculus morum freely rendering a quotation attributed to St. Bernard — six lines roughly rhyming aabccb			sermons, verse in; death	— six-line — aabccb	
DIMEV 3676	Naveth my soul but fire and ice	May the Lord preserve us — last ten lines of a religious poem, possibly in 8-line stanzas (abababab)			devotional verse	— eight-line — abababab	
DIMEV 3677	Nay nay nay / We named never William Grey	Political slogan from the dispute over the mayoral election in Norwich in 1433 — one couplet			Norwich; historical poems; justice	— two-line — aa	See also 6609.
DIMEV 3678	Ne be the day never so long	A couplet in a Latin sermon				— two-line — aa	Cf. 4226, Bk. 1, ln. 578; 4004, lines 5479-80; Watson (1867) XWatson, Thomas. Proverbs and Epigrams of John Heywood (A.D. 1562). Manchester: for the Spenser Society, 1867.
DIMEV 3679	Ne be thy wimple never so yellow ne so strutting	On the vanity of fashions — two couplets			clothing, against extremes of	— two-line — aa	
DIMEV 3680	Ne bring thou not thyself too low	Warning against the pleasures of lust — four lines translating ‘Nulli confundi misera dulcedine mundi…’ which precedes it in John Grimestone’s sermon notebook			vanity, against worldly; lust; translations	— two-line — aa	Cf. Walther (1963) XWalther, Hans. Proverbia sententiaque latinitatis medii aevi. 6 vols. Göttingen, 1963-69, no. 11899a; Walther (1969) XWalther, Hans. Initia carmina ac versuum medii aevi posterioris latinorum. Göttingen, 1959; 2nd ed. 1969, no. 17089.
DIMEV 3681	Ne hath my soul but fire and ice	On the need to pray God for forgiveness of sin before death — ten lines, mostly cross-rhymed			death, approach of; prayers, for pardon; penance	— ten-line — abcdcdcded	
DIMEV 3682	Ne have thou no God buten one	The Ten Commandments — five couplets	 ‘X Precepta’		ten commandments	— two-line — aa	For other MSS see 5844.
DIMEV 3683	Ne may no lewed lede liven in land	Five stanzas (aabccbddbeebffgggf)			satire; courts, consistory; law, attack on administration of	— eighteen-line — aabccbddbeebffgggf	
DIMEV 3684	Ne say never such a man a Jordan was	Fragment of a song, considerably mutilated			songs; fragments	— two-line — aa	
DIMEV 3685	Ne shalt thou never lady twinklen with thine eyen	Love lyric of ten lines, signed ‘Robertus seynte Mary Clericus’		Robert St. Mary (clerk)	love lyrics		Possibly scraps of three unrelated love songs.
DIMEV 3686	Ne thirst man never in land	Floris and Blaunchfleur — in couplets	 Floris and Blaunchfleur		romances	— two-line — aa	Critical edition, Hausknecht (1885) XHausknecht, Emil. Floris and Blanchfleur. Sammlung Englischer Denkmäler 5. Berlin: Weidmann, 1885 (1296 lines).
DIMEV 3687	Ne were my true innocent heart	A roundel by Charles d’Orléans — fourteen lines		Charles d’Orléans	roundels; love lyrics; love, vicissitudes of; love, constancy in	— roundel	
DIMEV 3688	Need not I love where men love me	Three little songs: of love, of sorrow, of joy, in a Latin sermon — three couplets or other rhyme schemes			sermons, verse in; Christ, Passion of; Christ, sufferings of	— four-line	
DIMEV 3689	Never to yielden and ever to craven	Aphorism in John of Grimestone’s sermon book — one couplet		John Grimestone	aphorisms	— two-line — aa	
DIMEV 3690	Nevertheless I am sorry that Rygge	Expressions of regret regarding animal bites, written by John Paston II to John Paston III, 8 November 1472 — two couplets			letters; animals, domestic; Paston, John, II; Paston, John, III	— two-line — aa	
DIMEV 3691	News news news have ye any news	Coplande’s Prologue to Chaucer’s Parliament of Fowls in the 1530 de Worde edition, four eight-line stanzas			introductions; printers’ prologues	— eight-line — ababbcbc	
DIMEV 3692	Next that a tournament was tried	‘The justis betuix the tailyeour and sowtar’, by William Dunbar — nine 12-line tail-rhyme stanzas	 ‘The justis betuix the tailyeour and sowtar’	William Dunbar	gallants, criticism/satire of; satire; jousts; ournaments	— twelve-line — aabccbddbeeb	Cf. 845.
